id_analise|cliente_id|tipo_tributo|periodo_analise|valor_identificado|observacoes
ANLS00001|CLI0005|PIS|2024-S2|452665.37|Possível recuperação através de compensação
ANLS00002|CLI0040|COFINS|2023-S1|138370.88|Necessário ajuste nas próximas declarações
ANLS00003|CLI0034|IPI|2024-S2|106391.01|Crédito confirmado após auditoria
ANLS00004|CLI0036|COFINS|2024-Q4|215060.2|Oportunidade de redução de carga tributária
ANLS00005|CLI0038|ICMS|2024-09|471870.95|Benefício fiscal não aplicado corretamente
ANLS00006|CLI0048|ISS|2023-Q1|307974.59|Necessário ajuste nas próximas declarações
ANLS00007|CLI0004|ISS|2024-S2|63849.45|Oportunidade de redução de carga tributária
ANLS00008|CLI0015|IPI|2024-S1|236870.86|Possível recuperação através de compensação
ANLS00009|CLI0013|IRPJ|2024-02|218884.6|Crédito confirmado após auditoria
ANLS00010|CLI0005|ICMS|2023-05|216787.62|Oportunidade de redução de carga tributária
ANLS00011|CLI0045|ICMS|2023-Q1|278635.55|Divergência entre declarado e devido
ANLS00012|CLI0028|ICMS|2023-04|193714.53|Requer análise mais detalhada da documentação
ANLS00013|CLI0031|PIS|2023-10|469399.73|Possível recuperação através de compensação
ANLS00014|CLI0021|PIS|2023-Q2|444282.76|Identificado crédito não aproveitado
ANLS00015|CLI0013|PIS|2023-Q3|174317.89|Divergência entre declarado e devido
ANLS00016|CLI0001|IPI|2024-S1|213923.61|Identificado crédito não aproveitado
ANLS00017|CLI0039|PIS|2023-S1|459661.41|Possível recuperação através de compensação
ANLS00018|CLI0038|PIS|2023-07|80075.83|Oportunidade de redução de carga tributária
ANLS00019|CLI0008|ISS|2024-S2|212463.47|Necessário ajuste nas próximas declarações
ANLS00020|CLI0039|COFINS|2023-06|369602.05|Possível recuperação através de compensação
ANLS00021|CLI0039|IPI|2024-Q3|92261.88|Necessário ajuste nas próximas declarações
ANLS00022|CLI0022|PIS|2024-08|456902.74|Necessário ajuste nas próximas declarações
ANLS00023|CLI0027|COFINS|2024-Q2|11640.57|Crédito confirmado após auditoria
ANLS00024|CLI0002|COFINS|2024-Q1|174298.71|Oportunidade de redução de carga tributária
ANLS00025|CLI0041|ISS|2024-06|207925.5|Benefício fiscal não aplicado corretamente
ANLS00026|CLI0047|IRPJ|2024-03|311841.13|Identificado crédito não aproveitado
ANLS00027|CLI0038|PIS|2023-Q4|228833.31|Benefício fiscal não aplicado corretamente
ANLS00028|CLI0016|IPI|2023-02|251936.3|Possível recuperação através de compensação
ANLS00029|CLI0004|IPI|2024-09|301675.58|Benefício fiscal não aplicado corretamente
ANLS00030|CLI0009|IPI|2023-S2|451068.29|Oportunidade de redução de carga tributária
ANLS00031|CLI0042|IPI|2023-Q4|424891.18|Identificado crédito não aproveitado
ANLS00032|CLI0042|CSLL|2024-S2|295120.72|Divergência entre declarado e devido
ANLS00033|CLI0049|ISS|2024-S2|421526.18|Benefício fiscal não aplicado corretamente
ANLS00034|CLI0002|ICMS|2024-08|235544.72|Requer análise mais detalhada da documentação
ANLS00035|CLI0019|ISS|2023-08|49893.3|Necessário ajuste nas próximas declarações
ANLS00036|CLI0048|IRPJ|2023-S1|31398.96|Oportunidade de redução de carga tributária
ANLS00037|CLI0010|ISS|2023-10|71929.46|Oportunidade de redução de carga tributária
ANLS00038|CLI0040|IRPJ|2023-S2|301163.68|Divergência entre declarado e devido
ANLS00039|CLI0041|IRPJ|2024-10|294414.34|Identificado crédito não aproveitado
ANLS00040|CLI0011|PIS|2024-S2|354173.82|Requer análise mais detalhada da documentação
ANLS00041|CLI0036|IRPJ|2024-08|22871.88|Possível recuperação através de compensação
ANLS00042|CLI0043|PIS|2024-10|425969.71|Crédito confirmado após auditoria
ANLS00043|CLI0021|IRPJ|2023-10|257665.51|Benefício fiscal não aplicado corretamente
ANLS00044|CLI0003|IPI|2023-11|112879.63|Requer análise mais detalhada da documentação
ANLS00045|CLI0020|COFINS|2023-12|63215.94|Divergência entre declarado e devido
ANLS00046|CLI0049|IRPJ|2023-11|171628.15|Necessário ajuste nas próximas declarações
ANLS00047|CLI0018|CSLL|2023-S1|365371.81|Divergência entre declarado e devido
ANLS00048|CLI0018|IPI|2023-Q4|342645.63|Necessário ajuste nas próximas declarações
ANLS00049|CLI0007|ICMS|2023-S1|131315.71|Necessário ajuste nas próximas declarações
ANLS00050|CLI0007|PIS|2023-Q4|63308.85|Requer análise mais detalhada da documentação
ANLS00051|CLI0002|ICMS|2023-09|440926.59|Divergência entre declarado e devido
ANLS00052|CLI0022|COFINS|2024-S1|210254.57|Possível recuperação através de compensação
